Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2025-02-19";"00:00 - 00:15";19200;18322.14;"2025-02-20 01:05"
"2025-02-19";"00:15 - 00:30";19050;18187.027;"2025-02-20 01:05"
"2025-02-19";"00:30 - 00:45";18900;17962.482;"2025-02-20 01:05"
"2025-02-19";"00:45 - 01:00";18800;17804.457;"2025-02-20 01:05"
"2025-02-19";"01:00 - 01:15";18650;17893.41;"2025-02-20 01:05"
"2025-02-19";"01:15 - 01:30";18500;17775.434;"2025-02-20 01:05"
"2025-02-19";"01:30 - 01:45";18400;17565.107;"2025-02-20 01:05"
"2025-02-19";"01:45 - 02:00";18300;17458.793;"2025-02-20 01:05"
"2025-02-19";"02:00 - 02:15";18250;17312.078;"2025-02-20 01:05"
"2025-02-19";"02:15 - 02:30";18250;17433.076;"2025-02-20 01:05"
"2025-02-19";"02:30 - 02:45";18250;17491.91;"2025-02-20 01:05"
"2025-02-19";"02:45 - 03:00";18250;17404.928;"2025-02-20 01:05"
"2025-02-19";"03:00 - 03:15";18250;17581.234;"2025-02-20 01:05"
"2025-02-19";"03:15 - 03:30";18250;17625.816;"2025-02-20 01:05"
"2025-02-19";"03:30 - 03:45";18250;17762.4;"2025-02-20 01:05"
"2025-02-19";"03:45 - 04:00";18300;17535.041;"2025-02-20 01:05"
"2025-02-19";"04:00 - 04:15";18400;17772.596;"2025-02-20 01:05"
"2025-02-19";"04:15 - 04:30";18550;18063.69;"2025-02-20 01:05"
"2025-02-19";"04:30 - 04:45";18650;18255.18;"2025-02-20 01:05"
"2025-02-19";"04:45 - 05:00";18800;18475.025;"2025-02-20 01:05"
"2025-02-19";"05:00 - 05:15";19100;18765.06;"2025-02-20 01:05"
"2025-02-19";"05:15 - 05:30";19400;19098.809;"2025-02-20 01:05"
"2025-02-19";"05:30 - 05:45";19800;19489.967;"2025-02-20 01:05"
"2025-02-19";"05:45 - 06:00";20400;20039.346;"2025-02-20 01:05"
"2025-02-19";"06:00 - 06:15";21650;21172.102;"2025-02-20 01:05"
"2025-02-19";"06:15 - 06:30";22050;21740.111;"2025-02-20 01:05"
"2025-02-19";"06:30 - 06:45";22450;22004.701;"2025-02-20 01:05"
"2025-02-19";"06:45 - 07:00";22950;22777.283;"2025-02-20 01:05"
"2025-02-19";"07:00 - 07:15";23600;23191.402;"2025-02-20 01:05"
"2025-02-19";"07:15 - 07:30";23800;23414.086;"2025-02-20 01:05"
"2025-02-19";"07:30 - 07:45";24000;23464.623;"2025-02-20 01:05"
"2025-02-19";"07:45 - 08:00";24200;23819.562;"2025-02-20 01:05"
"2025-02-19";"08:00 - 08:15";24600;24253.354;"2025-02-20 01:05"
"2025-02-19";"08:15 - 08:30";24850;24297.512;"2025-02-20 01:05"
"2025-02-19";"08:30 - 08:45";24850;24322.15;"2025-02-20 01:05"
"2025-02-19";"08:45 - 09:00";24850;24355.016;"2025-02-20 01:05"
"2025-02-19";"09:00 - 09:15";24850;24504.086;"2025-02-20 01:05"
"2025-02-19";"09:15 - 09:30";24850;24475.246;"2025-02-20 01:05"
"2025-02-19";"09:30 - 09:45";24650;24443.145;"2025-02-20 01:05"
"2025-02-19";"09:45 - 10:00";24250;24027.045;"2025-02-20 01:05"
"2025-02-19";"10:00 - 10:15";24000;23694.871;"2025-02-20 01:05"
"2025-02-19";"10:15 - 10:30";23900;23659.588;"2025-02-20 01:05"
"2025-02-19";"10:30 - 10:45";23950;23711.27;"2025-02-20 01:05"
"2025-02-19";"10:45 - 11:00";24000;23377.139;"2025-02-20 01:05"
"2025-02-19";"11:00 - 11:15";24000;23584.129;"2025-02-20 01:05"
"2025-02-19";"11:15 - 11:30";24000;23619.76;"2025-02-20 01:05"
"2025-02-19";"11:30 - 11:45";24000;23624.107;"2025-02-20 01:05"
"2025-02-19";"11:45 - 12:00";24000;23524.344;"2025-02-20 01:05"
"2025-02-19";"12:00 - 12:15";24000;23574.283;"2025-02-20 01:05"
"2025-02-19";"12:15 - 12:30";24000;23742.51;"2025-02-20 01:05"
"2025-02-19";"12:30 - 12:45";24000;23653.734;"2025-02-20 01:05"
"2025-02-19";"12:45 - 13:00";24050;23959.617;"2025-02-20 01:05"
"2025-02-19";"13:00 - 13:15";24250;24120.676;"2025-02-20 01:05"
"2025-02-19";"13:15 - 13:30";24250;23869.756;"2025-02-20 01:05"
"2025-02-19";"13:30 - 13:45";23850;23602.605;"2025-02-20 01:05"
"2025-02-19";"13:45 - 14:00";23700;23146.61;"2025-02-20 01:05"
"2025-02-19";"14:00 - 14:15";23900;23376.79;"2025-02-20 01:05"
"2025-02-19";"14:15 - 14:30";23900;23644.959;"2025-02-20 01:05"
"2025-02-19";"14:30 - 14:45";23900;23669.443;"2025-02-20 01:05"
"2025-02-19";"14:45 - 15:00";23900;23600.77;"2025-02-20 01:05"
"2025-02-19";"15:00 - 15:15";23850;23528.277;"2025-02-20 01:05"
"2025-02-19";"15:15 - 15:30";23850;23663.758;"2025-02-20 01:05"
"2025-02-19";"15:30 - 15:45";23850;23651.45;"2025-02-20 01:05"
"2025-02-19";"15:45 - 16:00";23850;23432.4;"2025-02-20 01:05"
"2025-02-19";"16:00 - 16:15";23850;23470.25;"2025-02-20 01:05"
"2025-02-19";"16:15 - 16:30";23850;23532.19;"2025-02-20 01:05"
"2025-02-19";"16:30 - 16:45";23900;23575.549;"2025-02-20 01:05"
"2025-02-19";"16:45 - 17:00";24200;23722.162;"2025-02-20 01:05"
"2025-02-19";"17:00 - 17:15";24550;23978.36;"2025-02-20 01:05"
"2025-02-19";"17:15 - 17:30";24750;24488.896;"2025-02-20 01:05"
"2025-02-19";"17:30 - 17:45";24750;24544.062;"2025-02-20 01:05"
"2025-02-19";"17:45 - 18:00";24550;24459.889;"2025-02-20 01:05"
"2025-02-19";"18:00 - 18:15";24600;24483.898;"2025-02-20 01:05"
"2025-02-19";"18:15 - 18:30";24600;24665.92;"2025-02-20 01:05"
"2025-02-19";"18:30 - 18:45";24600;24726.947;"2025-02-20 01:05"
